round,param_ma_months,param_momentum_months,param_high_weight,param_mid_weight,param_low_weight,param_vol_window_short,param_vol_window_long,param_vol_lookback,param_vol_quantile,param_vol_cut,param_trading_days,start_date,end_date,bars,total_return,annualized_return,max_drawdown,sharpe,average_exposure,trade_count,composite_score
0001,10,12,1.0,0.7,0.3,20,60,252,0.8,0.2,252,2004-02-11,2026-06-30,5505,10.512966970935578,0.11837212843946676,-0.29558553326797843,0.8424637565650926,0.73622161671208,95,-0.1879670291720024
0002,10,12,1.0,0.7,0.3,20,60,252,0.8,0.4,252,2004-02-11,2026-06-30,5505,9.291856190215494,0.112645732980589,-0.25147016427940816,0.8545355117375144,0.6847048138056312,95,-0.14837088012506772
0003,10,12,1.0,0.7,0.3,20,60,252,0.8,0.5,252,2004-02-11,2026-06-30,5505,8.631821107041628,0.10927436085425457,-0.24183894044979382,0.8519502739442459,0.6630154405086285,95,-0.14236955220111466
0004,10,12,1.0,0.7,0.3,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,7.993050268168952,0.1057947457624604,-0.23633806960875636,0.844481740585626,0.6413260672116258,95,-0.14109514978773338
0005,8,12,1.0,0.7,0.3,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,7.5643482371774,0.10332459865259924,-0.23633806960875658,0.8291560078922271,0.6359491371480472,94,-0.14409787016693462
0006,10,10,1.0,0.7,0.3,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,9.335304743297835,0.11286036148814516,-0.23633806960875636,0.889256460734325,0.6520799273387828,96,-0.1305520620471787
0007,10,8,1.0,0.7,0.3,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,8.459153119171518,0.10835601381204185,-0.191233541149057,0.8624195459266144,0.6510626702997275,92,-0.08863557274435371
0008,10,8,1.0,0.7,0.3,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,8.142505183243165,0.10662954046502882,-0.18365128972282008,0.8628767790792925,0.6331153496821073,90,-0.08073407134986202
0009,10,8,1.0,0.7,0.3,20,60,252,0.8,0.8,252,2004-02-11,2026-06-30,5505,7.789667621261499,0.10463721132541148,-0.18365128972282063,0.857718318247899,0.6162579473206177,90,-0.08324224657261922
0010,8,8,1.0,0.7,0.3,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.875876947942416,0.10513095266581374,-0.18365128972282052,0.8527444712812958,0.6297547683923707,90,-0.08324588992887719
0011,10,6,1.0,0.7,0.3,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.79027483221866,0.10464070509787748,-0.21702487865573872,0.8418188231779096,0.6350408719346049,92,-0.12020229124007029
0012,8,8,1.0,0.7,0.3,20,60,252,0.8,0.9,252,2004-02-11,2026-06-30,5505,7.202200006997982,0.10114419858951096,-0.18365128972282052,0.8371138969728894,0.5992370572207085,90,-0.08879570143602061
0013,10,8,1.0,0.7,0.1,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.607120701065044,0.10357628673998165,-0.1566925012030833,0.8521212688179169,0.6154586739327883,90,-0.057904087581309965
0014,10,8,1.0,0.7,0.0,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.334662753565027,0.10195218771631498,-0.1558926771006749,0.8416925720930405,0.606630336058129,78,-0.04777123217505584
0015,10,12,1.0,0.7,0.0,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,6.388585078376062,0.09589003313307609,-0.23633806960875603,0.794891537999572,0.5952770208900999,80,-0.14095888267572276
0016,10,7,1.0,0.7,0.0,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,8.15587737013971,0.10670359620294612,-0.15589267710067478,0.8791424567909688,0.607211625794732,78,-0.03927483521863177
0017,10,6,1.0,0.7,0.0,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,6.980619069037053,0.09976435640620407,-0.1751011069829067,0.8181011704236386,0.6120435967302452,80,-0.07352663353433879
0018,8,7,1.0,0.7,0.0,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.4900582806991185,0.10288458612837403,-0.17258261539872155,0.8509698910275153,0.6023069936421435,80,-0.06460104016759598
0019,10,8,1.0,0.7,0.0,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.334662753565027,0.10195218771631498,-0.1558926771006749,0.8416925720930405,0.606630336058129,78,-0.04777123217505584
0020,10,7,1.0,0.7,0.3,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,9.193830480661175,0.11215830926386183,-0.19123354114905844,0.8925161476806959,0.6492824704813805,93,-0.08282361711712702
0021,12,7,1.0,0.7,0.0,20,60,252,0.8,0.8,252,2004-02-11,2026-06-30,5505,7.404264507178809,0.10237184291553847,-0.18391384287770063,0.8601565706944464,0.5919346049046321,74,-0.06952634289271752